p_name|p_bookID|p_authname|p_date
Gibbs Smith|6640|Crissy Trask/Mike Clelland|1/23/2006
Plume|6644|Diane Johnson|7/1/2003
Fount|6654|Dallas Willard|10/5/1998
NAL|6655|Dante Alighieri/John Ciardi|5/27/2003
Everyman's Library|6656|Dante Alighieri/Allen Mandelbaum/Eugenio Montale|8/1/1995
Tyndale House Publishers|6657|Karen Kingsbury|5/17/2007
Penguin|6658|Julie Otsuka|1/12/2004
Wizards of the Coast|6659|David Noonan|5/1/2004
Whitaker House|6660|Mary K. Baxter/T.L. Lowery|1/1/1993
Puffin Books|6667|Roald Dahl/Quentin Blake|4/5/2001
Puffin|6668|Roald Dahl/Quentin Blake|3/24/2003
Puffin Books|6670|Roald Dahl/Quentin Blake|4/5/2001
Knopf Books for Young Readers|6671|Roald Dahl|9/11/2001
Dark Horse Books|6677|Roald Dahl/Artists and Writers Guild/Walt Disney Company/Leonard Maltin|9/26/2006
Puffin|6678|Roald Dahl/Quentin Blake|4/5/2001
Pelican Publishing|6680|Lyle Saxon/Edward Dreyer/Robert Tallant|5/31/1987
Alfred A. Knopf|6689|Roald Dahl/Quentin Blake|9/10/2002
Knopf Books for Young Readers|6690|Roald Dahl/Quentin Blake|2/12/2002
Penguin (Non-Classics)|6691|Roald Dahl|5/1/1986
Knopf Books for Young Readers|6693|Roald Dahl/Quentin Blake|6/11/2002
Puffin|6694|Roald Dahl/Quentin Blake|11/29/2001
New World Library|6708|Eckhart Tolle|8/19/2004
Cemetery Dance Publications|6721|Douglas Clegg|10/1/2006
Pocket Books|6745|Christopher Golden|4/7/2003
Back Bay Books|6748|David Foster Wallace|2/2/1998
Back Bay Books|6749|David Foster Wallace|8/30/2005
Little  Brown and Company|6751|David Foster Wallace|12/13/2005
Abacus|6753|David Foster Wallace|4/1/2000
American Diabetes Association|6763|Hope S. Warshaw/Warshaw Hope|10/15/2006
McGraw-Hill Education|6764|R. de Roussy de Sales|9/17/2003
Barrons Educational Series|6781|Douglas Downing|1/1/2003
Simon  Schuster|6793|Peter Biskind|4/4/1999
Sceptre|6794|David Mitchell|2/21/2005
Dial Press|6795|Liam Callanan|8/1/2004
Ballantine Books|6800|William Camann/Kathryn    Alexander|1/31/2006
Plume|6810|John A. McDougall/Mary McDougall|4/1/1999
Barrons Educational Series|6815|David A. Stewart/Jessalyn Little/Elizabeth     Stewart|11/1/2006
Vintage|6819|David Mitchell|10/9/2001
Nelson Thornes Ltd|6823|William Shakespeare/Alan Durband|1/1/1993
Simon & Schuster|6838|John Sandford|6/1/2004
Berkley Books|6851|Jean Sasson|9/7/2004
St. Martin's Press|6854|Janet Evanovich|7/15/1998
HarperTorch|6855|Janet Evanovich|7/25/2006
HarperTorch|6856|Janet Evanovich|11/29/2005
Scribner|6857|Janet Evanovich|4/26/2001
St. Martin's Paperbacks|6858|Janet Evanovich|6/15/2001
Anchor Books/Knopf Doubleday Publishing Group|6862|Ian McEwan|11/2/1999
Fodor's|6866|Fodor's Travel Publications Inc./Sarah Gold|4/6/2004
Anchor|6869|Ian McEwan|11/2/1999
Vintage|6870|Ian McEwan|10/28/2004
Anchor|6871|Ian McEwan|12/29/1998
Anchor|6872|Ian McEwan|11/1/1994
Harlequin Anthologies|6876|Barbara Bretton/Emilie Rose/Isabel Sharpe|2/7/2006
Debolsillo|6896|Plum Sykes|2/28/2005
Anchor Books|6899|Mitch Albom|6/29/2007
French & European Pubns|6902|Mitch Albom|1/1/2001
Limitless Corporation|6903|Mavis Applewater|3/9/2004
Poisoned Pen Press|6904|Nora Kelly|2/1/2000
University of Michigan Press|6905|Estelle B. Freedman|4/4/1984
Roaring Brook Press|6919|Jean Marzollo/Nancy Sheehan|8/1/2002
Caedmon|6925|Kurt Vonnegut Jr./David Strathairn/Maria Tucci/Bill Irwin/Tony    Roberts/Dylan Baker|5/23/2006
Ten Speed Press|6932|Richard Nelson Bolles|9/1/2006
Hay House|6937|Michael Neill|10/15/2006
Black Swan|6952|Laura Esquivel/Thomas  Christensen/Carol Christensen|9/16/1993
Random House Audio|6953|Laura Esquivel/Yareli Arizmendi|5/2/2006
Turtleback Books|6954|Laura Esquivel|6/1/1994
Vintage|6956|Gordon S. Wood|3/2/1993
Penguin Books|6969|Jane Austen/Fiona Stafford|5/6/2003
Berkley Sensation|6970|Emma Holly|11/7/2006
Schocken|6971|Esther Schor|9/5/2006
Berkley Books|6974|Emma Holly|11/1/2005
Penguin Books|6976|Sue Monk Kidd|3/7/2006
HarperOne|6980|Sue Monk Kidd|12/26/1996
HarperOne|6981|Sue Monk Kidd|10/11/2016
Ave Maria Press|6984|Henri J.M. Nouwen/Sue Monk Kidd|4/1/2006
W. W. Norton  Company|6987|Bryan Sykes|12/17/2006
Atria Books|6988|Wanda Sykes|9/13/2005
Corgi|6992|Bryan Sykes|7/1/2002
St. Martin's Griffin|6994|Charles J. Sykes|9/15/1996
Fourth Estate|7003|Eric Sykes|5/1/2006
SparkNotes|7006|William Shakespeare|7/3/2003
Cliffs Notes|7007|CliffsNotes/Michael McMahon|4/29/2001
Signet Book|7009|William Shakespeare|5/1/1998
AudioGO|7010|William Shakespeare/Amanda Root/Arkangel Cast/Roy Hudd/David Harewood|5/3/2005
Oxford University Press  USA|7011|William Shakespeare/Roma Gill/B. Litt|7/28/2005
Oxford University Press  USA|7015|William Shakespeare/Roma Gill|8/15/2002
Scholastic Paperbacks|7023|Kathryn Lasky/Richard Cowdrey|11/1/2004
Scholastic  Inc.|7027|Kathryn Lasky|5/1/2004
Anchor|7034|Alexander McCall Smith|3/14/2006
Random House Anchor|7035|Alexander McCall Smith|11/12/2002
Recorded Books  Inc.|7037|Alexander McCall Smith/Lisette Lecat|3/2/2005
Pantheon Books|7041|Alexander McCall Smith|4/20/2004
Alfred A. Knopf|7045|Murasaki Shikibu/Edward G. Seidensticker|7/12/1978
Dark Horse Books|7048|Yoshitaka Amano/Murasaki Shikibu/Rachel Nacth/Anri Itō/Junichi Imura|8/8/2006
Kodansha America|7050|Murasaki Shikibu/Masayuki Miyata/Jakuchō Seitouchi/Donald Keene/H. Mack Horton/Ayako Watanabe/Michiko Hiraoka|10/26/2001
Pantheon|7052|Alexander McCall Smith|4/18/2006
Pantheon|7053|Alexander McCall Smith|4/19/2005
Nymphenburger|7054|Alexander McCall Smith|2/1/2002
Nymphenburger|7055|Alexander McCall Smith|2/1/2003
Pantheon Books|7058|Alexander McCall Smith|4/17/2007
Anchor Books|7061|Alexander McCall Smith|2/6/2003
Random House Trade Paperbacks|7062|Adam Gopnik|9/11/2001
Sun and Moon Press|7064|Émile Zola/Ernest Alfred Vizetelly/Henry Vizetelly|12/1/1995
Ballantine Books|7071|John Irving|10/10/2000
Wings|7076|John Irving|5/21/1995
Paul S. Eriksson|7078|Richard A. Hawley/John Irving|9/1/2002
Del Rey|7086|Philip K. Dick|7/12/1987
Scholastic  Inc.|7089|K.A. Applegate/Katherine Applegate|9/1/1997
Back Bay Books|7090|Tracy Kidder|6/1/2000
University of Illinois Press|7092|Peter Cozzens|7/1/1991
Phoenix Press (UK)|7093|Bruce Catton/E.B. Long|12/31/2001
Mariner Books|7101|John Dos Passos|5/25/2000
Gallimard|7102|John Dos Passos|9/4/2002
Mariner Books|7103|John Dos Passos/E.L. Doctorow|5/25/2000
Mariner Books|7104|John Dos Passos/E.L. Doctorow|5/25/2000
Miramax Books|7113|Adam Gopnik/Omar Rayyan|10/15/2006
Oxford University Press|7118|Fyodor Dostoyevsky/Ignat Avsey|8/20/1998
Hackett Publishing Company  Inc.|7119|Fyodor Dostoyevsky/Constance Garnett/Charles Guignon|10/1/1993
Penguin Classics|7126|Alexandre Dumas/Robin Buss|5/27/2003
Simon  Schuster|7127|Alexandre Dumas/Brantley Johnson/Margaret Brantley|5/1/2004
Modern Library|7131|Alexandre Dumas/Lorenzo Carcaterra|6/11/2002
Bantam Classics|7135|Fyodor Dostoyevsky/Andrew R. MacAndrew/Konstantin Mochulsky|4/1/1984
Signet|7138|Fyodor Dostoyevsky/Leonard Stanton/James D. Hardy Jr./Sidney Monas/Robin Feuer Miller|3/7/2006
Basic Books|7139|Lawrence M. Friedman|9/9/1994
Picador|7140|Elliott Currie|10/15/1998
Cliffs Notes|7141|James Lamar Roberts/Fyodor Dostoyevsky/CliffsNotes|11/7/2000
Hackett Publishing Company  Inc.|7142|Cesare Beccaria/David Young|11/1/1986
Penguin|7144|Fyodor Dostoyevsky/David McDuff|12/31/2002
Norton and Co.|7150|Fyodor Dostoyevsky/George Gibian/Jessie Coulson|4/1/1964
Sage Publications  Inc|7154|Katherine Beckett/Theodore Sasson|10/16/2003
Anchor Books|7160|Naguib Mahfouz|9/20/1989
Penguin Classics|7182|Alexandre Dumas/Robin Buss|4/24/2003
Oxford University Press|7186|Alexandre Dumas fils/David Coward|3/30/2000
Penguin Classics|7188|Alexandre Dumas/Robin Buss|4/27/2006
Modern Library|7197|Alexandre Dumas/Julie Rose/Lorenzo Carcaterra|9/14/2004
Harper Perennial|7199|Ann-Marie MacDonald|8/31/2004
St. Martin's Paperbacks|7201|Jeffrey Archer|5/16/2004
Broadway Books|7208|Frances Mayes|8/10/1998
Thomas Nelson|7214|Donald Miller|7/15/2003
Penguin Books|7220|Sue Monk Kidd|10/4/2005
Darton  Longman & Todd|7230|Henri J.M. Nouwen|11/1/1994
Ave Maria Press|7231|Henri J.M. Nouwen/Michael    Ford|4/1/2006
Severn House Publishers|7240|Kate Sedley|2/1/2007
Harper Perennial Modern Classics|7244|Barbara Kingsolver|7/5/2005
Faber and Faber|7246|Barbara Kingsolver|1/10/2000
It Books|7252|Jenna Jameson/Neil Strauss|8/17/2004
St. Martin's Griffin|7260|Matthew Scully|10/8/2003
Del Rey|7263|Charlie Huston|12/26/2006
Multnomah Books|7264|Randy Alcorn|5/1/2006
Sleeping Bear Press|7266|Pamela Duncan Edwards/Troy Howell|9/30/2005
Dark Horse Manga|7268|Masamune Shirow|5/2/2000
Sinauer Associates|7269|Richard B. Primack|6/21/2007
Island Press|7271|Elliott A. Norse/Larry B. Crowder/Michael E. Soulé|5/9/2005
Wiley-Blackwell|7277|David W. Macdonald/Alonzo C. Addison/Sandra Baker/Mark S. Boyce/David Brown/Stephen Cobb/N. Mark Collins/C. Patrick Doncaster/John E. Fa/Joshua Ginsberg/Susanna B. Hecht/Katrina Service/Steve Albon/Les Firbank/Eli Geffen/Lise Albrechtsen/Elizabeth J. Asteraki/Christian Bonacic/Marcel Cardillo/Chris R. Dickman/Stephen A. Ellwood/H. Resit Akcakaya/Ruth E. Feber|1/1/2006
Rufus Publications|7286|Jim Dutcher/Eric Baker/Greg Simpson/Richard Ballantine|1/1/1996
HarperOne|7304|Rosita Arvigo/Nadine Epstein|1/9/2001
Atria Books|7315|Zolar|6/8/2004
Booksales|7321|Pamela Ball|4/1/2000
Mariner Books|7331|J.R.R. Tolkien/Baillie Tolkien|11/15/2004
Houghton Mifflin Company|7332|J.R.R. Tolkien/Christopher Tolkien/Ted Nasmith|11/15/2004
Mariner Books|7336|Humphrey Carpenter|6/6/2000
Del Rey|7337|J.R.R. Tolkien/Peter S. Beagle|11/12/1986
Mythopoeic Press|7338|Janet Brennan Croft/Mark P. Shea/Amy H. Sturgis|5/9/2005
HarperCollins|7339|J.R.R. Tolkien/Christopher Tolkien|5/2/2006
Houghton Mifflin Harcourt|7340|Brian Sibley/John  Howe/J.R.R. Tolkien|10/2/2003
Westminster John Knox Press|7341|Ralph C. Wood|10/31/2003
HarperCollins|7342|J.R.R. Tolkien/Christopher Tolkien|2/4/2002
Mariner Books|7343|John Garth|6/1/2005
Paulist Press|7344|Colin Duriez|10/8/2003
Del Rey/Ballantine Books|7347|J.R.R. Tolkien/Christopher Tolkien|6/1/1992
HarperCollins Publishers Ltd|7348|J.R.R. Tolkien|2/5/2001
Mariner Books|7351|Brian Sibley/Ian McKellen|11/6/2002
Ballantine Books (NY)|7352|Lin Carter|8/12/1972
Recorded Books  Inc.|7353|J.R.R. Tolkien/Rob Inglis|2/22/2002
Modern Library|7360|John Berendt|9/27/2005
Puffin Books|7361|Philippa Pearce|10/28/1993
Harcourt|7366|Temple Grandin/Catherine  Johnson|1/2/2006
Lantern Books|7370|J.R. Hyland|6/1/2000
Wiley (TP)|7375|Harlow Giles Unger|11/1/2003
Simon & Schuster|7388|George  Adamson|12/31/1987
Marvel|7389|Brian K. Vaughan/Adrian Alphona|12/6/2006
Silhouette Romance|7393|Sandra Steffen|11/24/2000
Mills & Boon|7400|Carol Marinelli|6/1/2004
Yale University Press|7415|D.W. Meinig|2/22/1995
Prometheus Books|7420|Mikhail Bakunin/Robert M. Cutler|5/1/1992
University of California Press|7422|David Cairns|10/1/2003
Metropolitan Books|7430|Juan Bonilla/Esther Allen|6/27/2006
Picador USA|7432|Jacqueline Winspear|6/27/2006
Grove Press|7437|William S. Burroughs/James Grauerholz/Barry Miles|1/26/2004
HarperCollins Publishers|7439|William S. Burroughs|5/3/2005
Quality Paperback Book Club|7444|Tom Wolfe|12/1/1990
Scribner|7445|Jeannette Walls|1/17/2006
Gallery Books|7453|Lauren  Levin/Lauren Blitzer|6/1/2006
Pocket Books|7454|Amy Sohn/Sarah Jessica Parker|10/15/2002
Random House (NY)|7477|Sebastian Faulks|9/30/2006
Vintage|7480|Sebastian Faulks|12/7/1999
Vintage|7482|Sebastian Faulks|7/6/2006
BALLANTINE BOOKS|7493|Joseph J. Ellis|2/5/2002
Vision|7494|James Patterson|8/1/2003
Abacus|7501|Daniel Jonah Goldhagen|3/3/1997
Wilhelm Goldmann Verlag  GmbH|7503|Daniel Jonah Goldhagen|7/1/1999
Bantam|7505|Luanne Rice|8/3/2004
Grand Central Publishing|7510|James Patterson/Peter de Jonge|5/1/2003
Mira Books|7512|Mary Alice Monroe|4/25/2006
Little  Brown and Company|7515|James Patterson/Peter de Jonge|6/10/2002
Pocket Books|7520|Brad Thor|7/1/2005
Lucent Books|7524|Patricia D. Netzley|9/1/1999
W. W. Norton  Company|7526|Michael   Lewis|9/17/2006
W. W. Norton  Company|7527|Richard Dawkins|9/17/1996
Villard Books|7529|Laurie Notaro|6/8/2004
Villard|7530|Laurie Notaro|7/8/2003
Villard|7531|Laurie Notaro|7/2/2002
Villard|7533|Laurie Notaro|4/19/2005
Villard|7534|Laurie Notaro|5/29/2007
Lübbe|7536|Laurie Notaro|8/1/2003
Berkley|7543|Denis Waitley|10/15/1986
Public Square Books|7549|Chris Ware|7/25/2006
Drawn and Quarterly|7551|Chris Ware|11/28/2006
Pantheon Books|7552|Chris Ware|9/20/2005
Drawn and Quarterly|7554|Chris Ware|11/26/2013
Jonathan Cape|7556|Chris Ware|11/20/2003
Penguin Group|7559|Voltaire/Chris Ware/Theo Cuffe/Michael  Wood|10/25/2005
No Exit Press|7572|Tom Robbins|10/11/2001
Faber  Faber|7577|Gus Van Sant/Tom Robbins|2/21/1994
Harmony|7579|Surya  Das|6/15/1998
Random House (NY)|7580|Shirin Ebadi|5/2/2006
Conari Press|7581|Mark Nepo|5/31/2000
Three Rivers Press|7582|Mona Lisa Schulz/Christiane Northrup|4/20/1999
Thomas Nelson|7584|Charles R. Swindoll|11/19/2006
Applause Books|7585|Frank Wedekind/Eric Bentley|4/1/2000
Riverhead Books|7586|Kathleen A. Brehony|9/1/1997
Penguin Classics|7588|James Joyce/Seamus Deane|3/25/2003
W. W. Norton & Company|7590|James Joyce/Walter Hettche/Hans Walter Gabler/John Paul Riquelme/John Mitchel/Michael Davitt/Canon  Doyle/Pádraic Pearse/Ignatius of Loyola/Giovanni Pietro Pinamont/Walter Pater/Oscar Wilde/Douglas Hyde/Kenneth Burke/Umberto Eco/Hugh Kenner/Hélène Cixous/Karen Lawrence/Maud Ellmann/Bonnie Kime Scott/Joseph Valente/Marian Eide/Pericles Lewis/Jonathan Mulrooney/J.M. Synge|5/1/2007
Naxos Audiobooks|7591|James Joyce/Jim Norton|8/1/2005
Signet Classics|7592|James Joyce/Langdon Hammer|6/6/2006
Yearling|7596|Jan Greenberg/Sandra Jordan|1/14/2003
Warner Adult|7598|Gabriel García Márquez/Brenda K. Marshall/F. Murray Abraham|4/1/2006
Harper Perennial Modern Classics|7599|Gabriel García Márquez/Gregory Rabassa|5/30/2006
Everyman|7600|Gabriel García Márquez|9/21/1995
Random House Trade Paperbacks|7603|Azar Nafisi|12/30/2003
Vintage Books|7606|Vladimir Nabokov/Alfred Appel|4/23/1991
Random House Audio|7608|Vladimir Nabokov/Jeremy Irons|4/26/2005
Scholastic Press|7609|Pam Muñoz Ryan/Claudia Rueda|10/1/2005
Fourth Estate|7610|Azar Nafisi|1/2/2004
Amistad|7611|Lolita Files|1/10/2006
NAL|7613|George Orwell/Boris Grabnar/Peter Škerl|5/6/2003
Random House Books for Young Readers|7615|Phoebe Dunn|2/12/1984
Penguin Books|7624|William Golding|10/1/1999
Penguin Classic|7633|Jaroslav Hašek|10/3/2000
Barnes  Noble Classics|7637|Ford Madox Ford/Frank Kermode|3/28/2005
Del Rey|7656|Ray Bradbury|4/1/2004
Harper|7661|Michael Crichton|11/28/2006
Wings|7662|Michael Crichton|3/1/1993
Signet|7663|Jeffery Hudson/Michael Crichton|8/5/2003
Wings Books|7664|Michael Crichton|3/6/1994
Harpperen|7665|Michael Crichton|11/5/2002
Turtleback Books|7668|Michael Crichton|8/30/2004
Avon Books|7670|Michael Crichton|10/28/2003
Avon Books|7672|Michael Crichton|10/28/2003
Avon|7673|Michael Crichton|8/29/2006
Random House Audio|7674|Michael Crichton/Stephen Lang/Anthony Heald/Blair Brown|8/29/2006
Plaza y Janes|7677|Michael Crichton|4/4/2006
Avon|7679|Michael Crichton|11/5/2002
Ballantine Books|7681|Michael Crichton|1/13/1989
Ballantine Books|7684|Michael Crichton/Anne-Marie Martin|4/7/1999
Oxford University Press|7687|J.M. Barrie/Peter Hollindale|7/15/1999
Prentice Hall|7694|Kenneth C. Laudon/Jane P. Laudon|3/1/2005
Harper Perennial|7695|Annie Dillard|12/30/1998
Free Press|7697|Elaine Sciolino|10/3/2005
W.W. Norton & Company|7700|George Bernard Shaw/Sandie Byrne|5/16/2002
Signet|7707|George Bernard Shaw/Alan Jay Lerner|3/7/2006
Modern Library/Random House (NY)|7708|George Bernard Shaw|11/12/1979
Dover Publications|7714|George Bernard Shaw|10/20/1994
Penguin Classics|7716|George Bernard Shaw/Dan H. Laurence/W.J. McCormack|3/27/2003
Crown|7717|Peter Kuper/Franz Kafka/Kerstin Hasenpusch|8/5/2003
Broadway Books|7718|Peter Kuper/Franz Kafka/Kerstin Hasenpusch|7/20/2004
W. W. Norton & Company|7721|Franz Kafka/Stanley Corngold|2/17/1996
Barnes  Noble Classics|7723|Franz Kafka/Jason Baker/Donna Freed|7/1/2003
Dover Publications|7724|Franz Kafka/Stanley Appelbaum|4/12/1996
Columbia University Press|7731|Judith Butler|5/23/2002
Penguin|7733|Jonathan Swift/Robert DeMaria Jr.|1/30/2003
Oxford University Press|7734|Jonathan Swift/Claude Julien Rawson/Ian Higgins|3/10/2005
Tantor Media|7737|Jonathan Swift/David Case|10/1/2006
Usborne Books|7739|Gill Harvey/Jonathan Swift|1/29/2008
Sterling|7740|Martin Woodside/Jamel Akib/Arthur Pober/Jonathan Swift|3/28/2006
Hodder Audio|7741|Jonathan Swift/Robert Hardy|1/1/2001
William Morrow Paperbacks|7742|Sena Jeter Naslund|8/2/2005
Harper Perennial|7747|Hunter S. Thompson/Ralph Steadman|4/4/2005
Warner Books (NY)|7748|Hunter S. Thompson|10/1/2006
Warner Books|7749|Hunter S. Thompson/Ralph Steadman|12/1/1982
Simon  Schuster|7752|Hunter S. Thompson|12/4/2001
Cliffs Notes|7757|James Lamar Roberts/Jeffrey Fisher|7/28/1980
Penguin Books|7763|Amy Tan|9/21/2006
Random House|7769|Dr. Seuss|11/26/1996
New York: Random House|7772|Dr. Seuss|7/24/2012
Random House Books for Young Readers|7775|Dr. Seuss|8/12/1959
Random House Books for Young Readers|7777|Dr. Seuss|9/12/1947
Random House Books for Young Readers|7778|Dr. Seuss|11/11/1997
Random House Books for Young Readers|7779|Dr. Seuss|10/10/1990
Random House Books for Young Readers|7781|Dr. Seuss|12/9/1989
London : Collins  2004.|7783|Dr. Seuss|11/1/2005
Random House Books for Young Readers|7784|Dr. Seuss|2/24/1998
HarperCollinsChildren’sBooks|7785|Dr. Seuss|5/6/2003
Lectorum Publications|7786|Dr. Seuss/Yanitzia Canetti|3/1/2003
Listening Library (Audio)|7788|Dr. Seuss/Various|10/14/2003
Random House Books for Young Readers|7789|Dr. Seuss|1/11/1995
The New Press|7791|Richard H. Minear/Art Spiegelman/Dr. Seuss|9/1/2001
Random House Books for Young Readers|7793|Dr. Seuss|1/5/2005
Bolchazy-Carducci Publishers|7796|Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg|5/6/2005
HarperCollinsChildren’sBooks|7797|Theo LeSieg/Dr. Seuss/Roy McKie|8/4/2003
HarperOne|7803|Julia Butterfly Hill|4/3/2001
Penguin Books Ltd|7805|Vladimir Nabokov|8/31/2000
Princeton University Press|7806|Brian Boyd|11/4/2001
Library of America|7807|Vladimir Nabokov/Brian Boyd|10/1/1996
Bloomsbury Paperbacks|7811|T. Coraghessan Boyle|10/8/2001
Vintage|7815|Joan Didion|2/13/2007
NYRB Classics|7821|Elizabeth Hardwick/Joan Didion|8/31/2001
Vintage|7830|Joan Didion|4/27/1993
Nova Fronteira|7838|Joan Didion|5/24/2006
Andrews McMeel Publishing|7841|Jim Toomey|9/6/2001
Andrews McMeel Publishing|7842|Scott Adams|3/1/2002
Penguin Books/Penguin Popular Classics|7845|Herman Melville|1/1/1994
Penguin Books|7847|Herman Melville/Nathaniel Philbrick|9/1/2001
Modern Library|7848|Herman Melville/Rockwell Kent/Elizabeth Hardwick|10/10/2000
Northwestern University Press|7849|Herman Melville/Harrison Hayford/Hershel Parker|9/19/2001
Anchor|7850|Aimee Bender|8/17/1999
Verso|7855|Mike  Davis|3/1/2006
Verso|7859|Mike  Davis|6/17/2002
Haymarket Books|7861|Justin Akers Chacón/Mike  Davis|4/1/2006
Simon & Schuster|7865|Steve Erickson|2/9/2005
Orion|7869|Robert Ludlum|3/24/2005
Puffin Books|7881|Rumer Godden/Jean Primrose|8/1/1987
HarperTrophy|7890|Maud Hart Lovelace/Vera Neville|3/31/1996
HarperTrophy|7891|Maud Hart Lovelace/Vera Neville|3/31/1996
HarperCollins|7894|Maud Hart Lovelace/Lois Lenski|4/5/2000
Minnesota Heritage Publishing|7895|Julie A. Schrader|12/31/2002
Minnesota Historical Society Press|7896|Maud Hart Lovelace/Rhoda R. Gilman|8/15/1992
HarperTrophy|7898|Maud Hart Lovelace/Vera Neville|3/31/1995
HarperTrophy|7901|Maud Hart Lovelace/Vera Neville|3/31/1995
Thomas Y. Crowell Company|7905|Maud Hart Lovelace/Lois Lenski|1/1/1943
HarperTrophy|7906|Maud Hart Lovelace/Vera Neville|12/31/2000
HarperCollins|7909|Maud Hart Lovelace/Lois Lenski|8/14/2007
Aladdin|7911|Margaret Sidney|6/1/2006
Yearling|7914|Margaret Sidney/Barbara Cooney|1/1/1988
Taylor Productions Ltd|7924|Sydney Taylor|4/1/2001
Delacorte Press|7926|Sydney Taylor|8/23/2005
Atheneum|7938|Carol Ryrie Brink|6/1/1974
William Morrow & Company|7946|Carolyn Haywood|3/1/1975
Tor Books|7955|Orson Scott Card|11/28/2006
Orb Books|7956|Orson Scott Card|1/24/2006
Tor|7957|Orson Scott Card|9/1/2004
Forge|7958|Orson Scott Card|9/17/2001
Forge Books|7959|Orson Scott Card|11/29/2005
F & W Publications Inc.|7960|Orson Scott Card|7/15/1990
Forge Books|7961|Orson Scott Card|3/14/2001
HarperTorch|7965|Orson Scott Card|1/25/1999
Forge|7966|Orson Scott Card|3/27/2012
Tor Books|7967|Orson Scott Card|8/15/1994
Tor Fantasy|7968|Orson Scott Card|7/15/1992
Tor Books|7971|Orson Scott Card|1/15/1994
Macmillan Audio|7972|Orson Scott Card/David Birney/Scott Brick/Gabrielle de Cuir/Scott Sowers|9/5/2006
Del Rey|7973|Orson Scott Card|5/31/2005
Philomel Books|7974|Brian Jacques/David Elliot|9/14/2006
Philomel Books|7975|Brian Jacques/David Elliot|9/22/2005
Firebird|7983|Brian Jacques/Gary Chalk|9/15/2003
Firebird|7987|Brian Jacques|6/2/2005
Red Fox|7996|Brian Jacques|9/4/2006
Firebird|7997|Brian Jacques/Ian Schoenherr|3/31/2003
Firebird|7998|Brian Jacques|5/24/2004
Firebird|8001|Brian Jacques/Allan Curless|9/9/2004
Puffin|8004|Brian Jacques/Christopher Denise|10/21/2004
Price Stern Sloan|8012|Roger Hargreaves|8/24/1998
Price Stern Sloan|8013|Roger Hargreaves/Adam Hargreaves|9/14/2006
Price Stern Sloan|8014|Roger Hargreaves|3/23/1998
Price Stern Sloan|8019|Roger Hargreaves/Adam Hargreaves|1/11/2007
Price Stern Sloan|8021|Roger Hargreaves|11/22/1999
Egmont Children's Books|8023|Roger Hargreaves|4/30/2004
Price Stern Sloan|8032|Roger Hargreaves/Adam Hargreaves|5/10/2007
Random House for Young Readers|8044|Roger Hargreaves/Gray Jolliffe|10/14/1989
Random House for Young Readers|8048|Roger Hargreaves/Gray Jolliffe|10/14/1989
Random House for Young Readers|8051|Roger Hargreaves/Gray Jolliffe|10/14/1989
Random House  for Young Readers|8053|Roger Hargreaves/Gray Jolliffe|10/14/1989
Hachette|8060|Roger Hargreaves|5/31/1997
Doubleday Books|8062|Margery Clark/Maud Petersham/Miska Petersham|10/1/1964
Atheneum Books for Young Readers|8073|Judi Barrett/Ron Barrett|4/1/1982
Atheneum Books|8074|Judi Barrett/Diane Dawson Hearn|1/1/1977
Live Oak Media|8077|Judi Barrett/Ron Barrett|10/30/1991
HarperCollins|8084|Robin McKinley|7/26/2005
Puffin|8086|Robin McKinley|9/16/2002
Ace Books|8087|Robin McKinley|5/1/2005
Jove|8088|Robin McKinley|11/30/2004
Ace|8089|Robin McKinley|12/1/1998
Firebird|8091|Robin McKinley|10/13/2003
HMH Books for Young Readers|8093|Robin McKinley/John Clapp|9/1/1998
Signet Book|8127|L.M. Montgomery|5/6/2003
Recorded Books  Inc.|8134|L.M. Montgomery/Barbara Caruso|1/1/2005
Bantam Books|8137|L.M. Montgomery|2/1/1993
Grosset & Dunlap|8141|L.M. Montgomery/Clare Sieffert|11/1/1990
Vintage|8146|Vladimir Nabokov|12/9/1996
Penguin Books|8147|Vladimir Nabokov/Michael Scammell/Dmitri Nabokov|4/5/2001
Mariner Books|8148|Vladimir Nabokov/Fredson Bowers/John Updike|12/16/2002
Library of America|8149|Vladimir Nabokov/Brian Boyd|10/1/1996
Princeton University Press|8150|Brian Boyd|1/31/1993
New Directions|8151|Vladimir Nabokov|9/17/2006
Vintage|8153|Vladimir Nabokov/Michael Scammell|8/11/1990
Griffin|8155|Barbara Taylor Bradford|12/1/2005
St. Martin's Press|8162|Barbara Taylor Bradford|12/26/2006
Treat Enterprises|8174|Jeanne Treat/Jane Starr Weils|10/1/2006
Pocket Star|8178|Richard A. Knaak|10/1/2006
HarperCollins|8196|William   Anderson/Laura Ingalls Wilder|10/13/1998
Tommy Nelson|8197|Laura Ingalls Wilder/Stephen W. Hines|5/10/2006
Tommy Nelson|8199|Laura Ingalls Wilder/Stephen W. Hines|5/10/2006
HarperCollins|8200|Laura Ingalls Wilder|2/7/2006
HarperCollins|8202|William   Anderson|1/2/2007
Harper & Row|8203|Laura Ingalls Wilder/Roger Lea MacBride/Margot Patterson Doss|10/20/1976
HarperCollins Publishers|8204|Laura Ingalls Wilder/William   Anderson|10/1/1997
