hr_name|hr_bookID
Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco|484
Nikola Tesla|493
Marc J.  Seifer/William H. Terbo|494
Carol Dommermuth-Costa|497
Nikola Tesla/David Hatcher Childress|498
Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye|511
Dave Thomas/Chad Fowler/Andy Hunt|515
Maureen Kelly/CliffsNotes/William Golding|523
William Golding|524
Victor Davis Hanson|531
Ephraim Sevela/Antonina W. Bouis|534
Alice Sebold|537
Alice Sebold|538
Sharyn McCrumb|539
Dave Shea/Molly E. Holzschlag|565
Elizabeth Castro|570
Michael Ochs/Patrick Javault/Ulrike Wasel|576
Chuck Klosterman|597
Chuck Klosterman|599
Jane Feather|619
Robert M. Pirsig|629
Kevin O'Malley/Carol Heyer/Scott Goto|639
Ronald L. DiSanto/Thomas J. Steele|642
John Harold Haynes|643
Catharine M. Fishel/Bill Gardner|650
Leo Tolstoy/Hugh McLean|655
Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude|656
Leo Tolstoy/Constance Garnett|658
Ayn Rand/Leonard Peikoff|662
Ayn Rand|663
Ayn Rand|664
Ayn Rand/Nathaniel Branden|665
Ayn Rand|667
Ayn Rand/Leonard Peikoff|668
Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen|669
Ayn Rand/Michael S. Berliner/Leonard Peikoff|670
J.J. Isler/Peter Isler|672
Colin  Wells|675
Billy Collins|676
Christopher Caswell|678
Kevin Trudeau|681
Bernard Malamud/Kevin Baker|685
Anne Tyler|698
Gary Colombo/Bonnie Lisle|700
Thomas E. Skidmore/Peter H. Smith|702
Philip Roth|703
Jon   Stewart|707
Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein|759
Gabriel García Márquez|762
Gabriel García Márquez|763
Gabriel García Márquez|764
Gabriel García Márquez/Edith Grossman|765
Gabriel García Márquez|766
Brian Greene|771
Upasika Kee Nanayon/Thanissaro Bhikkhu|775
Rob Humphreys/Beth Chaplin/Rebecca Morrill|787
Lonely Planet/Sarah Johnstone/Steve Fallon|793
Lonely Planet/Sarah Johnstone/Tom Masters|797
Lonely Planet/Mark Honan|799
H.G. Bissinger|815
Neal Stephenson|816
Neal Stephenson|821
Neal Stephenson|822
Neal Stephenson|823
Neal Stephenson/J. Frederick George|824
Neal Stephenson|826
Neal Stephenson/Pedro Jorge Romero|827
Neal Stephenson/George F. Jewsbury/Stephen  Bury|828
Neal Stephenson|829
Neal Stephenson/Guy Abadia|830
Dan Harrington/Bill Robertie|834
Dan Harrington/Bill Robertie|835
Donald A. Norman|840
Donald A. Norman|841
Donald A. Norman|842
Alex C. Jones/Diane M. Hanson/Stephen K. Ray|848
Paulo Coelho/Alan R. Clarke/James Noel Smith|864
Paulo Coelho/Alan R. Clarke/Özdemir İnce|865
Hiromu Arakawa/Akira Watanabe|866
Hiromu Arakawa/Akira Watanabe|868
Hiromu Arakawa/Akira Watanabe|869
Hiromu Arakawa/Akira Watanabe|870
Hiromu Arakawa/Akira Watanabe|871
Paulo Coelho/Alan R. Clarke/Mœbius|872
Hiromu Arakawa/Akira Watanabe|873
Robert   Harris|880
Edward Bulwer-Lytton/John Gregory Betancourt|888
John Steinbeck|890
Neil Strauss|900
Ellen Raskin|902
Zilpha Keatley Snyder|903
Arthur Golden|929
Arthur Golden|930
Arthur Golden|931
David        James/Peggy Mulloy/Rob Marshall/Arthur Golden|932
Arthur Golden|933
Mineko Iwasaki/Rande Brown|935
J. Torres/Eric  Kim|941
Margaret Johnson/Philip Prowse|944
Gary Chapman|955
Dan Brown|960
Dan Brown|965
Dan Brown/Raúl Amundaray|966
Dan Brown|968
Dan Brown|969
Dan Brown/Daniel Roche|972
Dan Brown|975
Dan Brown|977
Dan Brown|980
P.J. Parrish|987
Thomas J. Stanley/William D. Danko|998
Napoleon Hill|1005
Napoleon Hill|1007
Mike   Mason|1014
Riki Anne Wilchins|1022
Donald J. Trump/Tony Schwartz|1032
George S. Clason|1052
George S. Clason|1053
Trevanian/Gisela Stege|1059
David McCullough|1067
Peter  Stone/Sherman Edwards|1068
Robert J. Allison|1073
Pearl S. Buck|1078
Rick Warren|1090
Eric Schlosser|1097
Eric Schlosser|1099
Lisa See|1103
John Grisham|1110
Robert A. Caro|1111
Stephen W. Frey|1117
Bill Phillips/Michael D'Orso|1120
Pamela Peeke/Cindy Crawford|1121
Bill Phillips|1123
Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher|1130
Robert P. Miles/Tom Osborne|1138
Marvin N. Olasky/John R. Perry|1164
Barbara Park/Denise Brunkus|1167
Sarah Mlynowski|1169
Michael   Lewis|1171
Frank McConnell|1177
Ursula Ferrigno/Jason Lowe/Maxine  Clark|1188
Giada De Laurentiis/Victoria Pearson|1191
Giada De Laurentiis|1192
Giada De Laurentiis/Victoria Pearson|1193
Tyler Florence/Petrina Tinslay|1196
Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay|1197
Tyler Florence/Petrina Tinslay|1198
Steven D. Levitt/Stephen J. Dubner|1202
Steven D. Levitt/Stephen J. Dubner|1204
Steven D. Levitt/Stephen J. Dubner|1206
Barry Eisler|1218
Yann Martel|1226
Yann Martel/Nicole Martel/Emile Martel|1230
Robert Templer|1234
James Frey|1241
Python Bonkers|1242
James Pinocchio/Pablo Fenjves|1243
James M. Kouzes/Barry Z. Posner|1246
Donald T. Phillips|1252
Gary Yukl|1255
Rudolph W. Giuliani|1265
John Gray|1274
John Gray|1276
John Gray|1281
Ron  Louis/David Copeland|1290
Jean M. Auel|1295
Jean M. Auel|1296
Michael   Lewis|1301
Doug Walsh|1302
Robert Greene/Joost Elffers|1303
Steven Pressfield|1305
Margaret Weis/Tracy Hickman|1307
Thomas Harlan|1312
Steven Pressfield|1315
Steven Pressfield|1317
Steven Pressfield|1318
