a_authors|a_authrating
Alexander Pushkin/Douglas R. Hofstadter|4.09
Alexander Pushkin/James E. Falen|4.09
Alexander Pushkin/Tom Beck|4.09
Alexander Pushkin/Vladimir Nabokov|4.235
Alexander Pushkin/Walter W. Arndt|4.09
Alexandra Moss|3.99
Alexandra Moss/Veronica Bennett|4.07
Alexandra Robbins|3.18
Alexandra Siy/Dennis Kunkel|3.51
Alexandre Dumas fils/David Coward|3.99
Alexandre Dumas/Barbara T. Cooper|4.07
Alexandre Dumas/Brantley Johnson/Margaret Brantley|4.25
Alexandre Dumas/Julie Rose/Lorenzo Carcaterra|3.89
Alexandre Dumas/Keith Wren|4.07
Alexandre Dumas/Lorenzo Carcaterra|4.25
Alexandre Dumas/Michael Page|4.07
Alexandre Dumas/Robin Buss|3.99333333333333
Alexis de Tocqueville/Eduardo Brandão/Phillips Bradley/Luann Walther|4.17
Alexis de Tocqueville/Harvey Mansfield/Delba Winthrop|4.02
Alexis de Tocqueville/Isaac Kramnick/Gerald Bevan|4.02
Alexis de Tocqueville/John Stone/Stephen Mennell|4.12
Alfred D. Chandler Jr.|4.01
Alfred Hitchcock/Don Tothe|3.89
Alfred Uhry|3.71
Ali Vali|4.21
Alice   Miller|4.09
Alice   Miller/Andrew Edwin Jenkins|4.06
Alice   Miller/Ruth Ward|4.09
Alice Dalgliesh/Helen Sewell|3.79
Alice Dalgliesh/Marie Nonnast|4.03
Alice Hoffman|3.78428571428572
Alice Kaplan|3.9
Alice Medrich|3.87
Alice Medrich/Deborah Jones|4.28
Alice Medrich/Patricia Brabant|4.56
Alice Munro|3.99
Alice Munro/Margaret Atwood|4.15
Alice Munro/Susanna Basso|3.93
Alice Randall|3.07
Alice Sebold|3.81
Alice Sebold/Aurora Echevarría|3.81
Alice Walker|4.11
Alice Wong/Lena Tabori|4.88
Alison Baverstock/Joseph Cornell/Christopher Wynne|4.03
Alison Bechdel|4.08
Alison Weir|4.045
Alistair Horne|4.23
Alistair MacLeod|4.19
Alistair McCallum/William Shakespeare|3.89
Alistair Moffat|3.7
Alister E. McGrath|4.06
Aljean Harmetz|4.0
Allan C. Weisbecker|3.89
Allan Janik/Stephen Toulmin|4.06
Allan Zola Kronzek|4.04
Allegra Goodman|3.32
Allen Carr|4.3
Allen Ginsberg/Barry Miles|4.22
Allen Ginsberg/William Carlos Williams|4.13
Allen J. Frantzen/Ruth Mazo Karras/Madonna J. Hettinger/Elizabeth Stevens Girsch/John Ruffing/George Ovitt Jr./Ross Samson/Niall Brady/Douglas Moffat/David Aers/Louise M. Bishop|3.0
Allison Pearson|3.33
Alma Flor Ada/Elivia Savadier|4.05
Alma Flor Ada/Leslie Tryon|4.13
Alvin L. Reid|3.86
Amanda Clark|3.73
Amanda Eyre Ward|3.54
Amanda Hemingway|3.81
Amartya Sen|3.8
Amartya Sen/Λία Βουτσοπούλου|3.84
Amelia Atwater-Rhodes|4.022
America's Test Kitchen|4.35
Amir D. Aczel|3.72
Amitav Ghosh|3.95
Amos Oz/Nicholas de Lange|4.22
Amy Cotler/Frances Hodgson Burnett/Prudence See|4.3
Amy Goldman Koss|3.87
Amy Krouse Rosenthal|3.92
Amy Krouse Rosenthal/Jane Dyer|4.18
Amy Krouse Rosenthal/Tom Lichtenheld|3.96
Amy L. Marsland|3.76
Amy Sedaris|3.88
Amy Sedaris/Stephen Colbert/Paul Dinello|3.58
Amy Sohn/Sarah Jessica Parker|4.01
Amy Tan|3.87666666666667
Amy Tan/Claudia Conde|3.43
Amy Tan/Gretchen Schields|4.0
Amy Tan/Joan Chen|3.99
Amy Taubin|3.93
Anaïs Nin|3.975
Anaïs Nin/Gunther Stuhlmann|4.17
Anaïs Nin/Rupert Pole/Gunther Stuhlmann|3.99
Anaïs Nin/Val Telberg|3.8
Anderson Cooper|3.96
Andre Dubus|4.305
Andre Dubus III/Fontaine Dollas Dubus|3.85
Andre Dubus/Todd Field|4.16
Andre Duza|3.69
Andrea Camilleri/Stephen Sartarelli|4.04333333333333
Andrea Levy|3.825
Andrea Wilson Nightingale|4.33
Andreas Gursky/Peter Galassi|4.22
Andreas J. Köstenberger/Peter T. O'Brien|3.93
Andrei Codrescu/Laura Rosenthal|3.83
Andrew      Hunt|0.0
Andrew    Hunt|3.22
Andrew Carnegie/Gordon Hutner|3.98
Andrew Cartmel|3.51
Andrew Delbanco|4.04
Andrew Heintzman/Evan Solomon/Eric Schlosser|3.48
Andrew Helfer/Randy DuBurke|3.66
Andrew Hussey|3.81
Andrew J. Offutt|3.755
Andrew James McLean/Gary W. Eldred|3.82
Andrew M. Greeley|3.79
Andrew P. Trout|4.17
Andrew Solomon|4.18
Andrew Weil|4.11
Andrew X. Pham|3.96
Andrés Duany/Elizabeth Plater-Zyberk/Jeff Speck|4.08
Andy Griffiths/Miles Thompson|3.73
Andy Griffiths/Terry Denton|3.83
Andy Hertzfeld/Steve Wozniak|4.18
Andy Hunt/Dave Thomas|4.31
Andy McNab|4.09
Andy Warhol|3.74
Angela Knight|4.09666666666667
Angela Knight/Diane Whiteside|3.91
Angela Knight/MaryJanice Davidson/Virginia Kantra/Sunny|3.9
Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati|3.76
Angela Knight/Sheri Gilmore/Morgan Hawke|3.99
Angus Gellatly/Oscar Zárate/Richard Appignanesi|3.54
Angus Wells|3.74
Anita Desai|3.49333333333333
Anita Diamant|4.1
Anita Diamant/Karen Kushner|3.93
Anita Shreve|3.512
Anita Thompson|3.96
Ann  O'Leary|3.64
Ann Abramson/Nancy Harrison|4.26
Ann Bausum|3.98
Ann Beattie|3.435
Ann Brashares|3.82
Ann Finding|4.13
Ann Granger|3.88
Ann Hewetson|4.0
Ann Hodgman|4.31
Ann M. Martin|3.91
Ann M. Martin/Laura Godwin/Brian Selznick|3.96
Ann Major|3.25
Ann Margaret Lewis/Helen Keier/Chris Trevas/William O'Connor|4.18
Ann Maxwell/Elizabeth Lowell|3.65
Ann Packer|3.42
Ann Patchett|3.89
Ann Rinaldi|3.79
Ann Romines|3.7
Ann Rule|4.09
Ann Thwaite|3.8
Ann-Marie MacDonald|4.025
Anna Deavere Smith|4.02
Anna J.|4.38
Anna Maxted|3.588
Anna Quindlen|3.88
Anna Sewell|3.96
Anna Sewell/John         Green|3.96
Anna Sewell/Scott McKowen|3.96
Annalee Allen|3.0
Anne Brontë/Fred Schwarzbach|3.68
Anne Carson/Euripides|4.4
Anne Chisholm|3.82
Anne Easter Smith|4.02
Anne Fadiman|4.17
Anne Hoppus|4.42
Anne K. Mellor|3.9
Anne Lamott|4.0075
Anne Macdonald|4.02
Anne Mazer|4.01
Anne Mazer/Bill Brown|3.925
Anne Mazer/Monica Gesue|3.96
Anne Mazer/Monica Gesue/Joyce White|3.88
Anne McCaffrey|4.2075
Anne McCaffrey/Dick Hill|4.1
Anne McCaffrey/Elizabeth Ann Scarborough|3.825
Anne McCaffrey/Todd McCaffrey|3.95
Anne Michaels|3.93
Anne Millard|3.79
Anne Moody|4.13
Anne Morrow Lindbergh|4.17
Anne Rampling/Anne Rice|3.58
Anne Rice|3.79823529411765
Anne Rice/Camila Batlles|3.72
Anne Rice/Joe Morton/Tim Curry/Lindsay Crouse|4.23
Anne Rice/Luis Murillo|3.58
Anne Rice/Marcelo Covián|3.99
Anne Rice/Robert O'Keefe/F. Murray Abraham/Michael York/Kate Nelligan/David Purdham|4.27
Anne Rice/Roberta Rambelli|3.89
Anne Stuart|3.765
Anne Tyler|3.65777777777778
Anne Tyler/Gemma Rovira|3.62
Annie Dillard|4.05166666666666
Annie Proulx|3.865
Annie Proulx/Lew Nichols|3.64
Anonymous|4.7
Anonymous/Alfred Huang|4.28
Anonymous/John Blofeld|4.19
Anonymous/Jonathan  A. Goldstein|4.04
Anonymous/Maureen Kovacs|3.68
Anonymous/Max McLean|4.6
Anonymous/N.K. Sandars|3.68
Anonymous/Philip Boehm/Hans Magnus Enzensberger|4.33
Anonymous/Thomas Cahill|4.64
Ansel Adams/Robert Hardy Baker|4.31
Anthony  Lewis|3.91
Anthony Bourdain|3.816
Anthony Burgess|3.87571428571429
Anthony Burgess/Blake Morrison|3.99
Anthony D. Pellegrini/Peter K. Smith|4.33
Anthony E. Wolf|1.98
Anthony F.C. Wallace|3.66
Anthony Grafton|3.62
Anthony Hern/Ian Fleming/Henry Gammidge/John McLusky|3.7
Anthony J. Cascardi|3.55
Anthony Kenny|3.98
Anthony Kiedis|4.11
Anthony Loyd|4.29
Anthony Mcreavy|3.0
Anthony Minghella/Michael Ondaatje|3.86
Anthony Powell|4.18
Anthony Robbins/Kenneth H. Blanchard/Jason Winters|4.23
Anthony Shadid|4.12
Anthony Thorlby|4.345
Antoine de Saint-Exupéry|4.31
Anton Chekhov/Ann Dunnigan/Rosamund Bartlett/Robert Brustein|4.18
Anton Chekhov/David Plante/Constance Garnett|4.33
Anton Chekhov/Jack Coulehan/Robert Coles|4.04
Anton Chekhov/Laurence Senelick|4.24
Anton Chekhov/Ralph E. Matlaw|4.35
Anton Chekhov/Richard Pevear/Larissa Volokhonsky|4.41
Anton Myrer|3.85
Anton Myrer/Alastair Westgarth|3.73
Antonia Fraser|3.9525
Antonia Juhasz|4.05
Antonin Artaud/Bernard Bador/Clayton Eshleman|4.25
Antonio Gramsci|3.89
Antonio Negri/Matteo Mandarini|3.7
Antonio Negri/Michael Hardt|3.96
Antony Beevor|4.29
Antony Beevor/Artemis Cooper|3.83
Antony Johnston/Christopher Mitten|3.55
Anya Seton|3.89
Anya Seton/Philippa Gregory|4.05
Apollodorus/Hyginus/R. Scott Smith/Stephen M. Trzaskoma|3.98
Apollodorus/James George Frazer|3.93
Apollodorus/Richard Wagner|0.0
Apollodorus/Robin Hard|3.98
Apollodorus/Selwyn Reginald Cudjoe/Leonard Baskin|3.98
April Jones Prince/Nancy Harrison/John   O'Brien|4.16
Architecture For Humanity/Cameron Sinclair|4.12
Ariel Levy|3.68
