a_authors|a_authrating
Erich Fromm|4.20666666666667
Erich Fromm/Peter D. Kramer/Rainer Funk|4.04
Erich Fromm/Rainer Funk|4.09333333333333
Erich Fromm/T.B. Bottomore|4.02
Erich Fromm/محمود منقذ الهاشمي|4.02
Erich Maria Remarque|4.145
Erik  Larson|3.71
Erik Larson|3.9175
Erik Larson/Tony Goldwyn|3.99
Erin McCarthy|3.72
Erin McKean|3.59
Erin St. Claire/Sandra Brown|3.64307692307692
Erle Stanley Gardner|3.88
Ernest Becker/Sam Keen/Daniel Goleman|4.16
Ernest Hemingway|3.92555555555556
Ernest Hemingway/Charlton Heston|4.3
Ernest Hemingway/Donald Sutherland|3.77
Ernest Hemingway/Edward Shenton|3.56
Ernest Hemingway/John Hemingway/Patrick Hemingway/Gregory H. Hemingway/Charles Scribner Jr.|4.29
Ernest Hemingway/John Slattery|3.8
Ernest Hemingway/Matthew J. Bruccoli|4.15
Ernest Hemingway/Stacy Keach|3.77
Ernest Hemingway/William Hurt|3.82
Ernest Hemingway/William M. White|3.96
Ernest J. Gaines|3.95
Ernesto Laclau|4.04
Ernesto Laclau/Chantal Mouffe|3.89
Ernesto Sabato|4.05
Ernle Bradford|4.07
Errol Flynn/Jeffrey Meyers|4.02
Erving Goffman|3.93
Esmeralda Santiago|4.02
Estelle B. Freedman|4.27
Esther Perel|4.15
Esther Schor|3.88
Eudora Welty|3.96166666666667
Eudora Welty/Reynolds Price|4.43
Eudora Welty/Richard Bausch|4.04
Eudora Welty/Richard Ford/Michael Kreyling|4.17
Eugene J. McCarthy/Christopher Hitchens|4.5
Eugene Linden|3.93
Eugene O'Neill/Harold Bloom|4.07
Eugene O'Neill/Luann Walther|4.08
Eugene O'Neill/Travis Bogard|4.14
Eugène Ionesco|3.9
Eugène Ionesco/Charles Marowitz/Donald   Watson|4.11
Eugène Ionesco/Donald M. Allen|4.04
Euripides|3.63
Euripides/Aeschylus/Edith Hamilton|4.06
Euripides/David Grene/Richmond Lattimore|4.43
Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith|4.21
Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker|4.21
Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts|4.0
Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith|4.31
Euripides/David Kovacs|4.212
Euripides/David R. Slavitt/Smith Palmer Bovie/Fred Chappell/Mark Rudman/Elaine Terranova/Richard Elman/Katharine Washburn/George D. Economou|3.88
Euripides/David Thompson/J. Michael Walton|3.78
Euripides/Donald J. Mastronarde|3.87
Euripides/Georgia Ann Machemer/Michael   Collier|3.87
Euripides/Gilbert Murray|3.89
Euripides/James Morwood/Robin Waterfield|4.1
Euripides/John Davie/Richard Rutherford|4.085
Euripides/Moses Hadas/John Maclean|4.17
Euripides/Pantelis Michelakis|4.03
Euripides/Paul Roche|3.97
Euripides/Reginald Gibbons/Peter H. Burian|3.88
Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone|4.03
Euripides/William Arrowsmith|3.83
Eva Brann|4.395
Eva-Maria Metcalf|3.78
Evan Thomas|4.11
Evangeline Walton|4.02
Evelyn Waugh|3.91666666666667
Evelyn Waugh/George Weigel/Amy Welborn|3.6
Ewan McGregor/Charley Boorman/Robert Uhlig|3.94
F. Scott Fitzgerald|3.82333333333333
F. Scott Fitzgerald/Alexander Scourby|3.91
F. Scott Fitzgerald/Arnold Gingrich|3.56
F. Scott Fitzgerald/Arnold Goldman/Richard Godden|3.82
F. Scott Fitzgerald/Dave Page/Patricia Hampl|4.0
F. Scott Fitzgerald/Edmund Wilson|3.92
F. Scott Fitzgerald/James L.W. West III|4.19
F. Scott Fitzgerald/Matthew J. Bruccoli|4.12
F. Scott Fitzgerald/Matthew J. Bruccoli/Judith S. Baughman|3.75
F. Scott Fitzgerald/Tim Robbins|3.91
F.F. Bruce/Philip W. Comfort/Carl F.H. Henry/J.I. Packer|3.86
FASA Corporation/Ian Lemke/Louis J. Prosperi|3.71
Fannie Flagg|4.115
Fannie Flagg/Cassandra Campbell|3.91
Fatemeh Keshavarz|3.63
Faye Perozich/Anne Rice/John Bolton/Daerick Gröss|4.2
Faïza Guène|3.4
Faïza Guène/Sarah    Adams|3.4
Federico García Lorca|4.32
Federico García Lorca/Christopher Maurer|4.43
Federico García Lorca/Juan Ramón Jiménez/Robert Bly|4.34
Federico García Lorca/Norman Thomas di Giovanni|4.3
Federico García Lorca/W.S. Merwin/Langston Hughes|3.84
Fern Michaels|4.14
Fiona McAuslan/Matthew  Norman|3.82
Flann O'Brien/Denis Donoghue|4.01
Fodor's Travel Publications Inc./Sarah Gold|3.43
Ford Madox Ford/Frank Kermode|3.72
Fran Leeper Buss/Daisy Cubias|3.69
Frances Burney/Edward A. Bloom|3.67
Frances Gies/Joseph Gies|3.86
Frances Goodrich/Albert Hackett/Wendy Kesselman|4.06
Frances Hodgson Burnett|4.13
Frances Hodgson Burnett/Alison Lurie|4.13
Frances Hodgson Burnett/Graham Rust|4.13
Frances Hodgson Burnett/Nancy Bond|4.2
Frances Hodgson Burnett/Sandra M. Gilbert|4.13
Frances Hodgson Burnett/Scott McKowen|4.165
Frances J. Roberts|4.58
Frances Mayes|3.75
Frances Oliver|4.0
Frances Stonor Saunders|4.01
Francesca Lia Block|3.99666666666667
Francine Pascal|3.89111111111112
Francine Pascal/Jamie Suzanne|3.46666666666667
Francine Pascal/Kate William|3.54400000000001
Francine Pascal/Molly Mia Stewart/Ying-Hwa Hu|3.94
Francine Patterson/Ronald H. Cohn|4.3
Francine Prose|3.5775
Francine Segan/Tim Turner/Patrick O'Connell|4.01
Francis Davis/Pauline Kael|3.69
Francis Meynell/John Julius Norwich/Francis Maynell|3.67
Frank  Graham|3.78
Frank Beddor|3.93
Frank Darabont/Stephen King|4.64
Frank E. Peretti|4.1375
Frank Furedi|3.52
Frank Herbert|3.778
Frank Herbert/Brian Herbert/Kevin J. Anderson|3.88
Frank Herbert/Domingo Santos|4.22
Frank Kermode|3.68
Frank M. Carrano/Walter J. Savitch|3.47
Frank McConnell|3.455
Frank McCourt|3.93
Frank N. Magill|0.0
Frank P. Incropera/David P. DeWitt|3.99
Frank Portman|3.56
Frank Warren|4.355
Frank Wedekind/Eric Bentley|3.8
Frank Zappa/Peter Occhiogrosso|4.13
Frank Zöllner/Johannes Nathan/Frank Zöllner|4.26
Franz Kafka|3.94333333333333
Franz Kafka/Breon Mitchell/Arthur H. Samuelson|3.98
Franz Kafka/Donna Freed/Jason Baker|4.03
Franz Kafka/Edwin Muir/Willa Muir/Eithne Wilkins/Ernst Kaiser/Mark Anderson/Arthur S. Wensinger|3.95
Franz Kafka/Jason Baker/Donna Freed|4.03
Franz Kafka/Joachim Neugroschel|4.03
Franz Kafka/Max Brod/Joseph Kresh/Martin Greenberg|4.23
Franz Kafka/Max Brod/Willa Muir/Edwin Muir|3.98
Franz Kafka/Michael Hofmann/Geoffrey Brock/Roberto Calasso|3.75
Franz Kafka/Nabum N. Glazer/John Updike|4.35
Franz Kafka/Nahum N. Glatzer/John Updike|4.35
Franz Kafka/Nahum N. Glatzer/John Updike/Willa Muir/Edwin Muir/Tania Stern/James Stern/Ernst Kaiser/Eithne Wilkins|4.35
Franz Kafka/Stanley Appelbaum|4.03
Franz Kafka/Stanley Corngold|3.81
Franz Kafka/Willa Muir/Edwin Muir/Gabriel Josipovici|4.35
Franz Kafka/Willa Muir/Edwin Muir/Klaus Mann/E.L. Doctorow|3.75
François Rabelais/M.A. Screech|3.71
François Rabelais/Thomas Urquhart/Pierre Le Motteux|3.71
Fred Anderson|4.16
Fred Goodman|3.91
Fred Pearce|3.94
Fred Saberhagen|3.75857142857143
Frederick C. Beiser|4.52
Frederick Charles Copleston|4.1
Frederick Douglass|4.02
Frederick Douglass/David W. Blight|4.02
Frederick Douglass/Gregory Stephens/Peter J. Gomes|4.02
Frederick Douglass/Harriet Ann Jacobs/Kwame Anthony Appiah|4.01
Frederick Douglass/Henry Louis Gates Jr.|4.35
Frederick Exley/Jonathan Yardley|4.08
Frederick K. Goodwin/Kay Redfield Jamison|4.4
Frederick P. Brooks Jr.|4.05
Frederick P. Lenz|0.0
Frederik Pohl/Lester del Rey/Damon Knight/A.E. van Vogt/Jack Vance|4.02
Fredric Dannen/Erroll McDonald|3.94
Friedrich A. Hayek|4.18
Friedrich Dürrenmatt/John J. Neumaier/William Gillis|3.73
Friedrich Nietzsche|4.054
Friedrich Nietzsche/Clifton Fadiman|3.98
Friedrich Nietzsche/Francis Golffing|4.01
Friedrich Nietzsche/Gary Handwerk|4.21
Friedrich Nietzsche/Michael Tanner|4.16
Friedrich Nietzsche/Michael Tanner/Shaun Whiteside|3.98
Friedrich Nietzsche/R.J. Hollingdale|4.18
Friedrich Nietzsche/R.J. Hollingdale/Michael Tanner|4.01
Friedrich Nietzsche/Raymond Geuss/Ronald Speirs|4.04
Friedrich Nietzsche/Richard T. Gray|4.06
Friedrich Nietzsche/Walter Kaufmann|4.01
Friedrich Nietzsche/Walter Kaufmann/Peter Gay|4.11
Friedrich Nietzsche/Walter Kaufmann/R.J. Hollingdale|4.05
Friedrich Reck-Malleczewen/Paul Rubens/Richard J. Evans|4.24
Fritjof Capra|3.97
Fulton J. Sheen|4.59
Fuyumi Ono/小野 不由美/Akihiro Yamada/山田 章博/Elye J. Alexander/Alexander O. Smith|4.2
Fyodor Dostoyevsky|3.9
Fyodor Dostoyevsky/Alexander Pushkin/Guillermo Suazo Pascual|4.32
Fyodor Dostoyevsky/Andrew R. MacAndrew/Ben Marcus|4.18
Fyodor Dostoyevsky/Andrew R. MacAndrew/Konstantin Mochulsky|4.32
Fyodor Dostoyevsky/Anna Brailovsky/Joseph Frank/Constance Garnett/Alan Myers|4.18
Fyodor Dostoyevsky/Constance Garnett|4.18
Fyodor Dostoyevsky/Constance Garnett/Charles Guignon|4.36
Fyodor Dostoyevsky/Constance Garnett/Elizabeth Dalton|4.27
Fyodor Dostoyevsky/Constance Garnett/Joseph Frank|4.18
Fyodor Dostoyevsky/Constance Garnett/Maire Jaanus|4.32
Fyodor Dostoyevsky/Constance Garnett/Manuel Komroff/John Bayley|4.32
Fyodor Dostoyevsky/David Magarshack|4.26
Fyodor Dostoyevsky/David McDuff|4.265
Fyodor Dostoyevsky/Ergin Altay|4.05
Fyodor Dostoyevsky/Fyodor Dostoevsky/Richard Pevear/Larissa Volokhonsky|4.32
Fyodor Dostoyevsky/George Gibian/Jessie Coulson|4.21
Fyodor Dostoyevsky/Ignat Avsey|4.095
Fyodor Dostoyevsky/Jane Kentish|3.81
Fyodor Dostoyevsky/Jessie Coulson|4.095
Fyodor Dostoyevsky/Jonathan Franzen|3.89
Fyodor Dostoyevsky/Larissa Volokhonsky/Richard Pevear|4.21
Fyodor Dostoyevsky/Leonard Stanton/James D. Hardy Jr./Sidney Monas/Robin Feuer Miller|4.21
Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky|4.2
Fyodor Dostoyevsky/Ronald Hingley|4.42
Fyodor Dostoyevsky/Simon Vance/Thomas R. Beyer Jr.|4.32
Fyodor Dostoyevsky/Thomas R. Beyer Jr./Simon Vance|4.32
G. Edward White|3.67
G. Richard Shell|3.95
G.E. Bentley Jr.|4.06
G.K. Chesterton/Anton C. Pegis|4.14
Gabriel García Márquez|3.911
Gabriel García Márquez/Brenda K. Marshall/F. Murray Abraham|4.11
Gabriel García Márquez/Curt Meyer-Clason|3.97
Gabriel García Márquez/Edith Grossman|3.8725
Gabriel García Márquez/Gregory Rabassa|4.02428571428571
Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein|4.095
Gabriel García Márquez/Randolf Hogan|3.78
Gabriel García Márquez/Remy Gorga Filho|3.78
Gabrielle Ann Euvino/Lindsay Mack|4.0
Gail A. Eisnitz|4.35
Gail Carson Levine|3.98
Gail Godwin|2.89
Gail Grant|4.38
Gaius Julius Caesar/F.P. Long/Cheryl Walker|3.99
Gaius Julius Caesar/James H. Ford/W.A. McDevitte|4.12
Galadriel Waters/Astre Mithrandir|4.05
Gale Gand/Julia Moskin/Tim Turner|3.71
Galina Krasskova/Swain Wódening|3.83
Gardner Dozois/Damon Knight/R.A. Lafferty/Samuel R. Delany/Brian W. Aldiss/Gene Wolfe/Joanna Russ/James Tiptree Jr./Ursula K. Le Guin/Edward Bryant/Howard Waldrop/Jack Dann/L. Sprague de Camp/Lucius Shepard/Pat Cadigan/John Kessel/William Gibson/Connie Willis/Michael Swanwick/Bruce Sterling/Theodore Sturgeon/Richard McKenna/Cordwainer Smith/Jack Vance/Edgar Pangborn/Keith Roberts/Roger Zelazny|4.17
Gardner Dozois/George R.R. Martin/Daniel Abraham|3.57
Garrison Keillor|4.07
Garrison Keillor/Charles Bukowski/Robert Burns/Hayden Carruth/Raymond Carver/Billy Collins/Noël Coward/Carl Dennis/E.E. Cummings/Emily Dickinson/Stephen Dobyns/Fleur Adcock/John Donne/Rita Dove/Stephen Dunn/Lawrence Ferlinghetti/Robert Frost/Erica Funkhouser/Donald Hall/Patricia Hampl/Thomas Hardy/Jim Harrison/W.H. Auden/Jennifer Michael Hecht/David Ignatow/John Keats/X.J. Kennedy/Jane Kenyon/Galway Kinnell/Maxine Kumin/Kate Light/Henry Wadsworth Longfellow/Louis MacNeice/Hilaire Belloc/Herman Melville/W.S. Merwin/Edna St. Vincent Millay/Howard Nemerov/Sharon Olds/Mary Oliver/Grace Paley/Lawrence Raab/Kenneth Rexroth/Wendell Berry/Carl Sandburg/John Berryman/Elizabeth Bishop/William Blake/Philip   Booth/Virginia Hamilton Adair/Liesl Mueller|4.14
Garry Nelson|3.97
Garry Wills|3.91857142857143
Garth Ennis|4.0
Garth Nix|4.045
Gary A. Braunbeck/Deena Warner|4.25
Gary B. Nash|3.79
Gary Chapman|4.7
Gary Colombo/Bonnie Lisle|3.77
Gary Friedrich/Doug Moench/John Buscema/Mike Ploog/Val Mayerick|3.62
Gary K. Carey|3.295
Gary L. Blackwood|3.68
Gary L. Hardcastle/George A. Reisch|3.68
Gary Oates/Robert Paul Lamb/Randy Clark|4.31
Gary Paulsen|4.04
Gary Paulsen/Steve Chorney|3.67
Gary Russell|4.405
Gary Russell/Peter Anghelides/J. Shaun Lyon/Jon de Burgh Miller/Eddie Robson/Todd Green/Andy Russell/Andrew Collins/Kathryn Sullivan/Iain McLaughlin/Mark Michalowski/Joseph Lidster/Trevor Baxendale/Colin Brake/Claire Bartlett/Sarah Groenewegen/Trey Korte/Andy Frankham-Allen|3.38
Gary Snyder/Michael Corr|4.09
Gary Yukl|3.68
Gaston Leroux/Margaret Jull Costa/Terry Hale|3.53
Gavin Baddeley|3.86
Gavin Baddeley/Dani Filth|4.45
Gavin Menzies|3.6
Gayden Metcalfe|3.86
Gayle Lynds/Robert Ludlum/Don Leslie|3.95
Gelsey Kirkland/Greg Lawrence|3.8
Gene A. Brucker|3.57
Gene Wilder|3.9
Gene Wolfe|4.0525
Geneen Roth|4.00333333333333
Geneviève/Michael    Heath|3.96
Geoff Emerick/Howard Massey/Elvis Costello|4.25
Geoffrey Batchen|4.22
Geoffrey Chaucer|3.49
Geoffrey Chaucer/Brian Stone|3.61
Geoffrey Chaucer/David  Wright|3.49
Geoffrey Chaucer/Jill Mann|3.49
Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson|4.18
Geoffrey Chaucer/Nevill Coghill|3.49
Geoffrey Chaucer/Theodore Morrison|3.86
Geoffrey Chaucer/V.A. Kolve/Glending Olson|3.95
Geoffrey Chaucer/Vincent Foster Hopper|3.8
Geoffrey M. Bellman|3.46
Geoffrey Miller|4.1
Geoffrey S. Kirk/John Earle Raven/Malcolm Schofield|4.25
Georg Feuerstein/Roger Walsh|3.71
Georg Wilhelm Friedrich Hegel|4.32
Georg Wilhelm Friedrich Hegel/A.V. Miller/John Niemeyer Findlay|3.93
Georg Wilhelm Friedrich Hegel/Allen W. Wood/Raymond Geuss|3.87
Georg Wilhelm Friedrich Hegel/Carl Joachim Friedrich|3.37
Georg Wilhelm Friedrich Hegel/E.S. Haldane/Frederick C. Beiser|4.05
Georg Wilhelm Friedrich Hegel/J. Sibree|3.82
Georg Wilhelm Friedrich Hegel/J. Sibree/C.J. Friedrich/Charles Hegel|3.82
Georg Wilhelm Friedrich Hegel/James Black Baillie|4.0
Georg Wilhelm Friedrich Hegel/Leo Rauch|3.76
Georg Wilhelm Friedrich Hegel/Michael John Petry|0.0
Georg Wilhelm Friedrich Hegel/Robert S. Hartman|3.65
Georg Wilhelm Friedrich Hegel/S.W. Dyde|3.87
Georg Wilhelm Friedrich Hegel/Yirmiyahu Yovel|4.06
George  Adamson|4.23
George Balanchine/Francis Mason|4.0
George Beahm|3.76333333333333
George Bernard Shaw|3.785
George Bernard Shaw/Alan Jay Lerner|4.26
George Bernard Shaw/Dan H. Laurence/Imogen Stubbs|3.8
George Bernard Shaw/Dan H. Laurence/Nicholas Grene|3.9
George Bernard Shaw/Dan H. Laurence/W.J. McCormack|3.9
George Bernard Shaw/Sandie Byrne|3.94
George Bernard Shaw/Susan Moller Okin|3.87
George Crile|4.01
George Crile/Christopher Lane|4.01
George E. Stanley|3.43
George E. Stanley/Guy Francis|4.02
George Eliot|3.715
George Eliot/A.S. Byatt|3.79
George Eliot/Bert G. Hornback|3.96
George Eliot/Carol T. Christ|3.79
George Eliot/Earl L. Dachslager/George Stade|3.84
George Eliot/Harriet Walter|3.96
George Eliot/Megan McDaniel/Lynne Sharon Schwartz/Lynn Sharon Schwartz|3.96
George Eliot/Thomas A. Noble|3.78
George Gamow|4.19
George Gamow/Roger Penrose|4.19
George Gladir/John L. Goldwater/Steve Geppi/Michael I. Silberkleit|3.91
George Grant|3.69
George H. Scherr/Richard Liebmann-Smith|4.32
George H. Wood/Theodore R. Sizer|3.5
George Lakoff|4.03
George Lakoff/Mark  Johnson|4.07
George Lucas|4.075
George Lucas/Donald F. Glut/James Kahn|4.25
George MacDonald Fraser|4.08
George MacDonald/Michael R. Phillips|4.08
George Orwell|4.0525
George Orwell/Boris Grabnar/Peter Škerl|3.93
George Orwell/Christopher Hitchens|4.21
George Orwell/Erich Fromm|4.18
George Orwell/John Carey|4.33
George Orwell/Lionel Trilling|4.14
George Orwell/Mauricio Molina/Miguel Martínez Sarmiento|4.18
George Orwell/Richard H. Rovere|4.38
George Orwell/Thomas Pynchon|4.18
George Pelecanos|3.64
George Plimpton|4.08
George R.R. Martin|4.12333333333333
George R.R. Martin/Roy Dotrice|4.41
George R.R. Martin/Victor Milán|3.69
George S. Clason|4.26
George Saunders|4.01
George Saunders/Lane Smith|4.11
George Selden/Garth Williams|4.02
George Smoot/Keay Davidson|4.01
George Stalk Jr./Rob Lachenauer/Robert Lachenauer/John  Butman|3.49
George Sullivan|4.12
George Washington|4.08
Georges Bataille|3.88
Georges Bataille/Mary Dalwood|4.11
Georges Perec|3.8
Georges Perec/David Bellos|3.88
Georges Perec/David Bellos/Andrew Leak|3.98
Georges Perec/Gilbert Adair|3.8
Georges Perec/John Sturrock|4.28
Georges Simenon|3.672
Georges Simenon/Anna Moschovakis/John N. Gray|3.75
Georges Simenon/David Watson|3.69
Georges Simenon/Eileen Ellenbogen|3.81
Georges Simenon/Lyn Moir|3.86
Georges Simenon/Marc Romano/D. Thin/Luc Sante|3.85
Georges Simenon/Marc Romano/William T. Vollmann|3.93
Georges Simenon/P.D. James/Geoffrey Sainsbury/David Watson|3.75
Georges Simenon/Robert Baldick|3.63
Georgette Heyer|3.89625
Georgette Heyer/Joan Wolf|4.11
Georgette Heyer/Kay Hooper|3.87
Georgina Grey|3.0
Gerald Posner|3.96
Geraldine Brooks|3.87
Geraldine McCaughrean/Scott M. Fischer|3.55
Geraldine McCaughrean/Victor G. Ambrus/Herman Melville|3.82
Geraldine Pinch|3.61
Gertrude Chandler Warner|3.9
Gertrude Chandler Warner/Charles Tang|3.82
Gertrude Stein|3.59
Gertrude the Great/Gertrud Jaron Lewis|3.43
Gia Bathory Al Babel|2.55
Giada De Laurentiis|3.95
Giada De Laurentiis/Victoria Pearson|4.025
Giles Andreae/Guy Parker-Rees/Hugh Laurie|4.3
Gill Harvey/Jonathan Swift|3.35
Gilles Deleuze/Félix Guattari/Franz Kafka|4.17
Gilles Deleuze/Michael Hardt|4.17
Gilles Deleuze/Richard Howard|4.22
Gillian Avery|3.67
Gillian Avery/Everyman's Library/Thomas Benwick|4.14
Giorgio De Santillana/Hertha Von Dechend|4.29
Girolamo Cardano/Jean Stoner/Anthony Grafton|3.75
Giuliana DePandi|3.15
Giuliano Hazan/Marcella Hazan/Dana Gallagher|3.79
Glen David Gold|4.09
Glenn M. Schwartz|4.0
Glenn Yeffeth/Don DeBrandt/Cory Doctorow/Bruce Bethke/Adam Roberts/Lawrence Watt-Evans/Selina Rosen/Mark W. Tiedemann/Jacqueline Carey/Susan Sizemore/Vox Day/Stephen Baxter/A.M. Dellamonica/Marguerite Krause/John Shirley/Adam-Troy Castro/Amy Berner/Maria  Alexander/Marie-Catherine Caillava/Mike Byrne|3.86
Gloria Goldreich|3.38
Gloria Naylor|4.17
Gonzague Saint Bris/Arthur C. Clarke/Stéphane Heuet/Helen Marx/Saint-Bris Gonzague|4.0
Good Housekeeping/Zoe Coulson|4.37
Gordon Bowker|3.83
Gordon Dahlquist|3.5
Gordon Korman|3.93318181818181
Gordon Korman/Holter Graham|3.8
Gordon S. Wood|4.05
Gore Vidal|4.065
Gotthold Ephraim Lessing|3.7
Govind Armstrong/Lisa Romerein/Tyler Florence|3.6
Graham Chapman/Eric Idle/Terry Gilliam/John Cleese/Terry Jones/Michael Palin/Roger Wilmut|4.38
Graham Chapman/John Cleese/Terry Gilliam/Eric Idle/Terry Jones/Michael Palin|4.44
Graham Chapman/John Cleese/Terry Gilliam/Eric Idle/Terry Jones/Michael Palin/Bob McCabe|4.08
Graham Greene|3.8675
Graham Greene/Christopher Hitchens|3.46
Graham Greene/John Clark Pratt|3.97
Graham Greene/John Updike|4.0
Graham Greene/Monica Ali|3.94
Graham Greene/Paul Theroux|3.6
Graham Greene/Pico Iyer|4.17
Graham Greene/Robert  Stone|3.97
Graham Greene/Zadie Smith|3.97
Graham Hancock|3.95
Graham Handley|0.0
Graham Masterton|3.62
Graham McNeill|3.97
Grant Morrison/Chris Weston/Gary Erskine|3.75
Grant Morrison/Chris Weston/Ivan Reis|4.24
Grant Morrison/Dave McKean|4.1
Grant Morrison/Duncan Fegredo|3.41
Grant Morrison/Frank Quitely|4.03
Grant Morrison/Frank Quitely/Rafael De la Iglesia|3.97
Grant Morrison/Howard Porter/John Dell|3.98
Grant Morrison/Jon J. Muth|3.44
Grant Morrison/Klaus Janson|3.79
Grant Morrison/Marc Silvestri|3.75
Grant Morrison/Marc Silvestri/Chris Bachalo/John Paul Leon/Frank Quitely/Leinil Francis Yu/Igor Kordey/Ethan Van Sciver/Keron Grant/Tom Derenick/Phil Jimenez|4.23
Grant Morrison/Phil Jimenez/John Stokes|4.18
Grant Morrison/Phil Jimenez/John Stokes/Tommy Lee Edwards/Paul Johnson/Steve Yeowell/Dick Giordano/Mark Buckingham/Mark Pennington|4.21
Grant Morrison/Philip Bond/D'Israeli/Daniel Vozzo|3.57
Grant Morrison/Philip Bond/Warren Pleece/Sean Phillips/Jay Stephens/Frank Quitely/Steve Yeowell|4.2
Grant Morrison/Richard Case/Doug Braithwaite/Scott Hanna/Carlos Garzon/John Nyberg|4.08
Grant Morrison/Richard Case/Ken Steacy/Stan Woch/Philip Bond/Mark McKenna/Scott Hanna|4.27
Grant Morrison/Richard Case/Mike Dringenberg/Mark McKenna/Jamie Hewlett/Steve Yeowell/Rian Hughes|4.15
Grant Morrison/Ryan Sook/Mick Gray/Frazer Irving/J.H. Williams III/Simone Bianchi/Cameron Stewart|3.79
Grant Morrison/Steve Yeowell/Jill Thompson/Dennis Cramer/Peter Milligan|3.95
Grant R. Osborne|3.94
Graydon Carter/Tom Ford/Anna Wintour/Bridget Foley|4.47
Greg  Taylor|2.98
Greg Behrendt/Amiira Ruotola (-Behrendt)|4.02
Greg Behrendt/Liz Tuccillo|3.66
Greg Cox/Danny McBride/Len Wiseman/Kevin Grevioux|4.09
Greg Cox/Len Wiseman/Kevin Grevioux|3.91
Greg Iles|4.01833333333333
Greg Keyes/J. Gregory Keyes|3.81
Greg Tang/Heather Cahoon|4.03
Gregg Olsen|3.79
Gregory Bassham/Eric Bronson|4.28
Gregory Maguire|3.45
Gregory Maguire/Claudia Conde|3.53
Gregory Maguire/Diana Bryan|3.64
Gregory Maguire/Dirk Zimmer|3.6
Gregory Maguire/Douglas Smith|3.175
Gregory Maguire/Douglas Smith/Jelena Bojić|3.47
Gregory Maguire/Elaine Clayton|3.5675
Gregory Maguire/Mechtild Sandberg-Ciletti|3.53
Gretchen Moran Laskas|3.83
Grif Stockley|3.55
Gus Russo|3.88
Gus Van Sant/Tom Robbins|3.76
Gustave Flaubert/Donada  Peters|3.67
Gustave Flaubert/Douglas Parmée|3.83
Gustave Flaubert/Francis Steegmuller|3.62
Gustave Flaubert/Geoffrey Wall/Michèle Roberts|3.67
Gustave Flaubert/Margaret Cohen/Eleanor Marx|3.67
Gustave Flaubert/Robert Baldick/Geoffrey Wall|3.83
Gustave Flaubert/Roger Whitehouse/Geoffrey Wall|3.69
Gustave Flaubert/Αχιλλέας Κυριακίδης/Mark Polizzotti/Raymond Queneau|3.86
Gustave Le Bon/Charles Mackay|3.93
Guy Kawasaki|3.87
Guy Ogilvy|4.03
Guy W. Jones/Sally Moomaw|4.35
Gwen Moran|3.32
Gwyn Hyman Rubio|3.7
Gwynne Forster/Donna Hill/Parry A. Brown|4.2
Günter Grass|3.54
H. Jay Riker|3.9
H. Rider Haggard|3.8
H.G. Bissinger|3.88
H.G. Wells|3.82428571428571
H.G. Wells/Arthur C. Clarke|3.82
H.G. Wells/Barbara A. Turner|3.4
H.G. Wells/Christopher Priest|3.64
H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard|3.89
H.G. Wells/E.F. Bleiler|3.86
H.G. Wells/Edward Mendelson/Patrick Parrinder|3.42
H.G. Wells/George Gesner|3.94
H.G. Wells/Gregory Claeys/Francis Wheen|3.45
H.G. Wells/John Clute|3.61
H.G. Wells/John R. Hammond|4.14
H.G. Wells/Leon Stover|3.82
H.G. Wells/Melvin Burgess|3.89
H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner|3.89
H.G. Wells/Ursula K. Le Guin|3.93
H.P. Lovecraft|4.235
H.P. Lovecraft/August Derleth/E. Hoffmann Price|4.44
H.P. Lovecraft/August Derleth/Robert Bloch|4.31
H.P. Lovecraft/Barbara Hambly|4.3
H.P. Lovecraft/China Miéville/S.T. Joshi|3.88
H.P. Lovecraft/E. Hoffmann Price/Neil Gaiman|4.23
H.P. Lovecraft/James Turner/S.T. Joshi/August Derleth|4.44
H.P. Lovecraft/Joyce Carol Oates|4.19
H.P. Lovecraft/Lin Carter|4.12
H.P. Lovecraft/Peter Straub|4.34
H.R. Giger/Kathi Christen/Adrienne Theimer/Ernst  Fuchs|4.35
H.W. Brands|4.0
Ha Jin|3.74714285714286
Ha Jin/季思聰|3.79
Hailey Abbott/Melissa de la Cruz/Aimee Friedman/Nina Malkin|3.41
Halldór Laxness/James Anderson Thompson|4.17
Halldór Laxness/Magnus Magnusson|3.76
Halldór Laxness/Magnus Magnusson/Jane Smiley|3.77
Halldór Laxness/Philip Roughton/Adam Haslett|3.89
Hania Czajkowski|4.0
Hanif Kureishi|3.655
Hannah  Green/Joanne Greenberg|3.87
Hannah Arendt|4.28
